position,book_draft,director,duration
658,,Yoon-cheol Jeong,117
659,László Krasznahorkai,Béla Tarr,145
660,,Charlie Chaplin,124
661,,Ernst Lubitsch,99
662,Władysław Reymont,Andrzej Wajda,179
663,Alexandre Dumas mladší,Franco Zeffirelli,109
664,,James Cameron,155
665,,Steven Soderbergh,116
666,Washington Irving,Tim Burton,105
667,,John Lasseter,116
668,Bruce Porter,Ted Demme,124
669,Miloslav Švandrlík,Zdenek Sirový,99
670,,Richard Donner,111
671,,Jim Jarmusch,116
672,,Nick Park,85
673,André Batista,José Padilha,118
674,René Goscinny,René Goscinny,72
675,John Grisham,Francis Ford Coppola,130
676,James Grady,Sydney Pollack,117
677,,Orson Welles,119
678,,Jonathan Frakes,106
679,F. X. Svoboda,Martin Frič,104
680,Jules Verne,Karel Zeman,74
681,,Richard Lester,87
682,,Martin Zandvliet,101
683,,Hajao Mijazaki,93
684,Masamune Širó,Mamoru Ošii,99
685,Horace McCoy,Sydney Pollack,120
686,,Tom DiCillo,90
687,,Scott Hicks,105
688,,Šion Sono,237
689,,Joseph L. Mankiewicz,138
690,Henri Murger,Aki Kaurismäki,100
691,,Radu Mihăileanu,143
692,Truman Capote,Richard Brooks,134
693,,Chang-min Choo,131
694,,Raoul Walsh,106
695,Martin Andersen Nexø,Bille August,157
696,Stan Lee,Joss Whedon,143
697,,Sylvester Stallone,88
698,Bohumil Hrabal,Jiří Menzel,92
699,,Claude Zidi,104
700,,Vladimír Michálek,109
701,,Wilson Yip,108
702,,Jane Campion,121
703,Ales Adamovič,Elem Klimov,142
704,Peter Jaroš,Juraj Jakubisko,163
705,,Robert Mulligan,114
706,,Nadine Labaki,120
707,,Sergej Bondarčuk,134
708,Mary Orr,Joseph L. Mankiewicz,138
709,,Tengiz Abuladze,145
710,Elijah Wald,James Mangold,141
711,Hans Christian Andersen,Jiří Trnka,72
712,Ian Fleming,Martin Campbell,144
713,,Lee Unkrich,99
714,Jan Drda,Martin Frič,80
715,,Sam Mendes,117
716,,David Zucker,82
717,,John Musker,87
718,,Gérard Oury,103
719,,Terry Jones,107
720,,Lars von Trier,140
721,Cornelius Ryan,Richard Attenborough,175
722,,Gene Saks,104
723,Ho-sik Kim,Jae-yong Kwak,124
724,,Christophe Barratier,98
725,,Sergej M. Ejzenštejn,75
726,,Alfred Hitchcock,80
727,Alberto Moravia,Vittorio De Sica,100
728,,Roland Joffé,141
729,Alexandre Dumas st.,Robert Vernay,183
730,Armitage Trail,Howard Hawks,93
731,René Goscinny,René Goscinny,71
732,Pik Wah Li,Kaige Chen,171
733,,Grigorij Kozincev,133
734,Dan Abnett,James Gunn,116
735,Vikas Swarup,Danny Boyle,115
736,,Václav Vorlíček,97
737,Rudolph Grey,Tim Burton,127
738,Jane Austen,Ang Lee,131
739,Ira Levin,Roman Polański,136
740,,Woody Allen,96
741,Jasutaka Cucui,Mamoru Hosoda,98
742,,Jean Girault,85
743,,Norman Jewison,119
744,,Woody Allen,107
745,,Kristina Grozeva,101
746,,Andrej Tarkovskij,148
747,,Aisling Walsh,100
748,,Gillo Pontecorvo,121
749,,Nobuhiro Doi,119
750,,Ingmar Bergman,103
751,,Jiří Trnka,78
752,,Francesco Rosi,152
753,Philip K. Dick,Steven Spielberg,145
754,,Bryan Singer,131
755,,Jean-Jacques Annaud,126
756,Andrew Hodges,Morten Tyldum,109
757,,Steven Soderbergh,147
758,,Jean-François Richet,133
759,Robin Moore,William Friedkin,104
760,Charlie Chaplin,Richard Attenborough,143
761,,Wayne Wang,112
762,,Susanne Bier,120
763,Alexandre Dumas st.,Alexandre de La Patellière,178
764,,Ian MacNaughton,85
765,,Kenneth Branagh,233
766,H.G. Wells,James Whale,71
767,,Gordon Chan,103
768,Kentaró Miura,Tošijuki Kubooka,110
769,,Michail Kalatozov,97
770,,Carlos Saura,107
771,Virginia Kellogg,Raoul Walsh,114
772,Joru Sumino,Šin'ičiró Ušidžima,108
773,Isaac Asimov,Alex Proyas,115
774,Pierre Boulle,Rupert Wyatt,105
775,,Dennis Gansel,110
776,Joseph D. Pistone,Mike Newell,127
777,Fjodor Michajlovič Dostojevskij,Petr Zelenka,110
778,,Peter Jackson,103
779,Steven Pressfield,Robert Redford,126
780,,Joel Coen,116
781,,Matej Mináč,91
782,,Cameron Crowe,122
783,,Chia-Liang Liu,97
784,,Alan J. Pakula,132
785,Stefan Aust,Uli Edel,144
786,,Martin Scorsese,128
787,Jean-Dominique Bauby,Julian Schnabel,107
788,Felix Salten,David Hand,70
789,Astrid Lindgren,Tage Danielsson,126
790,,Michael Herbig,125
791,,Petr Zelenka,62
792,Samuel Hopkins Adams,Frank Capra,105
793,,Ingmar Bergman,81
794,,Lilja Ingolfsdottir,104
795,,Jiří Krejčík,88
796,Noël Calef,J. Lee Thompson,105
797,,Robert Zemeckis,143
798,,Bryan Singer,128
799,,Marie Poledňáková,82
800,Cormac McCarthy,Joel Coen,122
801,,Damián Szifron,122
802,,James Cameron,139
803,,Tom McCarthy,129
804,,Pete Docter,107
805,,Andrew R. Jones,101
806,,Robert Lamoureux,90
807,,Ronny Yu,100
808,,Martin Frič,80
809,,Richard Linklater,97
810,Alistair MacLean,Brian G. Hutton,158
811,,Martin Frič,100
812,Billy Hayes,Alan Parker,116
813,Patricia Highsmith,Alfred Hitchcock,101
814,,Franco Zeffirelli,117
815,,Don Bluth,70
816,,Kazuhisa Takenouči,68
